,video_id,similarity_score,user_type
0,51b9233b0bb897112df3cc2620f39192,0.6356296905644736,Existing
1,fe52ef7b48db0e2878997024bf838e17,0.6053681109415997,Existing
2,efdb8bf020d80fc7977c2217513fdca1,0.6024896614190521,Existing
3,a835fc566fe23724cfad0a816c8d9362,0.5987204321375731,Existing
4,88f71b449f8d940b04a7bdad06b63a46,0.5895169951378721,Existing
5,fc69d127f8a865561503700205948647,0.580806299156882,Existing
6,18915ab0ad75237f79f01e7c19dc4157,0.5627933365884997,Existing
7,b99e5be42d3a270c92a9d156fa95388e,0.5552545536630359,Existing
8,a4fb28ca9179320f21b9bb80b65d7051,0.5533399979093208,Existing
9,820af4e0ef60661c76919cb0d91cfbf4,0.5522544758666743,Existing
10,5ebdaf0a23ac2cbb934541bc6484b6e9,0.5462413474398049,Existing
11,e404fc1c7a36d291314c1aa30d8209fc,0.5429076390562791,Existing
12,4a23da3084bdafa88e7af52e0044d8c6,0.5360219123369852,Existing
13,d8283a50631c749025aabc498222f323,0.5298362500466154,Existing
14,da75041c27047d71cbebf8e32aabf769,0.5292221434938724,Existing
15,ca79903d40e66194ab2570b2c24a0fa3,0.5265947335124832,Existing
16,e73e5c4918b22c2805046dd5466ae38c,0.5255130265160693,Existing
17,f6ce05ca751cc65594dd885b2713793f,0.5244107324439095,Existing
18,3edab7d684426070b6388e9f07bb18f2,0.5243913648205254,Existing
19,1b001a2512724360670129b01488aa50,0.5215317847016933,Existing
