userId,movieId,rating,timestamp
24,367,4.0,994232987
24,372,2.0,995097444
24,593,4.0,994071088
24,802,3.0,995096937
24,832,3.0,994232682
24,1129,3.0,993972188
24,1197,4.0,993971477
24,1213,5.0,994071115
24,1784,4.0,994232569
24,2011,4.0,993972573
24,2353,4.0,994232932
24,2421,3.0,1000098963
24,2676,2.0,993974090
24,2724,1.0,993974240
24,2770,4.0,993973193
24,3081,2.0,993974240
24,3173,3.0,1000098905
24,3177,3.0,994821299
24,3179,2.0,993973127
24,3471,2.0,993972697
24,3527,4.0,993972341
24,3752,4.0,993974126
24,3969,4.0,994821283
24,4015,3.0,1000098736
24,4235,5.0,1015727294
24,4306,4.0,1009614653
24,4487,4.0,994070543
24,4735,2.0,1003292564
34,367,5.0,839249954
36,1088,3.0,1307410501
36,2353,4.0,1307410197
36,2770,3.0,1307410544
87,593,5.0,831890042
88,802,1.0,1098698289
88,832,0.5,1098277392
88,908,3.0,1098277387
88,1213,4.5,1098698258
88,1288,3.0,1098277744
88,1784,2.0,1098277714
88,3044,2.0,1098698630
88,4306,2.5,1098277395
90,367,3.5,1169227280
90,593,3.5,1169226558
90,1784,4.0,1169227159
90,4306,4.5,1169226542
90,5308,2.5,1127866982
90,5313,3.0,1127866998
111,1431,2.5,1229677352
111,2087,3.5,1229677128
118,3177,4.0,995908947
120,367,3.0,838153339
120,593,3.0,838153288
122,838,3.0,891526949
128,1220,5.0,900720597
128,1965,2.0,900720654
128,2011,4.0,900720654
129,367,0.5,1283448532
129,1088,3.5,1283523223
129,1197,1.5,1283448572
129,1213,4.5,1283448669
129,1288,1.5,1283448883
129,1515,0.5,1283404728
129,1713,1.5,1283404833
129,2087,1.0,1283456634
129,4306,4.0,1283448602
129,40732,3.0,1283449272
129,41566,2.5,1283449473
129,62155,4.5,1283449600
129,66509,4.0,1283449110
129,68954,3.5,1283456432
129,80846,3.5,1299453250
129,81591,4.5,1293581977
140,20,3.0,877995931
140,55,2.0,877983757
140,164,4.0,877995447
140,367,4.0,877996432
140,802,4.0,877983984
140,832,3.0,877996267
140,908,5.0,883184910
140,1088,3.0,877998608
140,1129,5.0,878003096
140,1188,5.0,914178726
140,1191,3.0,877996181
140,1197,4.0,877994583
140,1199,5.0,877991984
140,1220,5.0,886945984
140,1288,5.0,877995300
140,1748,4.0,888629823
140,2011,3.0,914178555
143,802,3.0,862087682
143,832,4.0,862087682
143,838,4.0,862087502
150,1381,1.5,1293713409
150,2926,4.0,1293713446
162,1197,3.5,1344122357
162,1199,4.0,1344122981
162,1220,4.0,1385771020
162,1281,4.5,1344122754
162,1299,3.0,1344122678
162,2788,3.5,1385771011
162,4306,3.5,1385771055
177,593,5.0,982635390
177,1088,5.0,982635795
177,3752,1.0,982636223
181,838,4.5,1285150538
181,3471,4.0,1285151590
183,20,4.0,835533012
183,593,3.0,835532668
187,593,5.0,1081651775
187,1199,4.5,1081651307
187,4085,4.0,1081651508
196,1088,5.0,937945099
196,1197,5.0,937943828
196,1381,2.0,937945337
196,2011,3.0,937944607
196,2088,1.0,937945378
196,2421,3.0,937945062
199,116,5.0,850855318
199,1310,5.0,850855540
202,367,3.0,831857881
207,1197,3.0,901404148
207,1220,4.0,901404326
207,1518,2.0,901404288
207,1667,2.0,901404246
207,1784,3.0,901404642
227,3471,2.5,1081429035
257,1213,4.0,888320848
266,908,3.0,1311928182
266,1197,5.0,1311928121
266,4306,4.5,1312008416
266,41566,4.0,1311927825
271,13,2.0,1225483432
271,367,1.5,1225483414
271,593,4.0,1317771318
271,1088,0.5,1225317295
271,1197,3.0,1225237706
271,1242,3.0,1225237937
271,1713,3.0,1225240031
271,2011,2.5,1225236176
271,2117,3.5,1225317923
271,2353,3.5,1236445734
271,2713,2.5,1225486047
271,3471,3.5,1225234275
271,4306,2.0,1225238046
271,5313,2.5,1225235227
271,6564,3.5,1225483173
271,7458,2.5,1249790611
271,8966,4.0,1225239338
271,40732,3.5,1302386464
271,41566,3.0,1225236453
271,42734,4.0,1225483836
271,45442,2.5,1225483484
271,51540,4.0,1302386181
271,68954,4.0,1409971741
271,81591,2.5,1347159042
273,593,3.0,1044296676
273,1197,2.0,1044296707
273,1213,3.0,1044297016
273,3825,3.0,1044299578
273,4235,2.0,1044298645
273,4291,3.0,1044296707
275,367,4.0,1118833826
275,1220,4.5,1118833794
275,4306,4.5,1118835526
286,367,1.0,833802620
298,20,3.0,992457686
298,164,2.0,992381544
298,214,1.0,992545624
298,367,2.0,992381772
298,379,4.0,992455483
298,593,4.0,992380169
298,787,1.0,992546007
298,802,3.0,992453901
298,832,4.0,992461970
298,1088,2.0,992459687
298,1129,3.0,992459567
298,1191,1.0,992547286
298,1197,4.0,992377851
298,1213,4.0,992380086
298,1242,5.0,992458875
298,1310,1.0,992545678
298,1355,3.0,992462363
298,1409,3.0,992547436
298,1431,3.0,992456642
298,1518,3.0,992454634
298,1644,3.0,992455805
298,1667,3.0,992455685
298,1703,3.0,992456987
298,1713,1.0,992547016
298,1748,2.0,992453473
298,1784,4.0,992453645
298,2011,3.0,992459638
298,2027,3.0,992458107
298,2353,4.0,992453626
298,2387,4.0,992455710
298,2421,3.0,992460021
298,2476,3.0,992459842
298,2676,2.0,992456642
298,2713,3.0,992456876
298,2724,3.0,992455191
298,2770,4.0,992381731
298,2771,4.0,992454087
298,2812,3.0,992380382
298,2903,1.0,992463240
298,2905,1.0,992545537
298,3044,3.0,992453803
298,3081,4.0,992381544
298,3159,1.0,992546344
298,3173,5.0,992455779
298,3177,4.0,992379588
298,3268,3.0,992458068
298,3392,1.0,992460107
298,3441,4.0,992459723
298,3471,3.0,992378029
298,3478,3.0,992459619
298,3527,5.0,992459037
298,3596,4.0,992464484
298,3695,1.0,992463188
298,3752,4.0,992379612
298,3754,1.0,992464322
298,3825,4.0,992379823
298,4085,4.0,992459140
298,4235,1.0,992464591
301,1515,3.0,897943953
301,1667,4.0,897943704
302,2770,3.0,957594355
308,552,2.0,1115312284
308,1784,3.5,1115312752
308,2353,3.5,1115312297
310,214,5.0,938971802
310,232,5.0,938972070
310,593,5.0,938971583
310,1834,3.0,938972495
310,2112,4.0,938971888
310,2697,4.0,938972795
315,367,1.0,974695478
315,1713,2.0,974688383
315,3478,3.0,974687651
318,593,4.0,1424471766
318,1748,4.5,1424472301
318,2011,4.0,1424472117
318,3177,3.0,1424473339
318,3752,1.0,1424472567
318,4306,2.0,1424471101
318,5072,4.0,1424472368
318,5313,2.5,1424471715
318,6564,2.0,1424471647
318,6624,2.5,1424750436
318,7458,3.5,1424472650
318,8966,3.5,1424473151
318,40732,4.0,1424473190
318,41566,1.0,1424472601
318,51540,3.0,1424472833
318,59037,3.5,1424472242
318,62155,2.0,1424473514
318,63072,2.0,1424749974
318,68135,3.0,1424473321
318,68954,3.0,1424471058
318,72167,3.0,1424751263
318,80917,4.0,1424751270
318,81591,2.5,1424472690
318,88356,0.5,1424750671
318,112175,4.0,1424750860
318,112370,0.5,1424471719
327,593,2.0,838760019
329,593,5.0,834563025
334,9,4.0,834672391
334,20,1.0,834740749
334,832,4.0,867913800
334,1009,3.0,842855949
334,1013,3.0,842855805
334,1431,3.0,860761675
359,232,4.0,1082376777
359,367,4.0,1082110010
359,475,2.5,1067220992
359,593,5.0,1067185353
359,802,4.0,1087077131
359,832,4.0,1082109520
359,1129,3.0,1075706760
359,1188,4.0,1067185807
359,1197,4.0,1067185308
359,1242,4.0,1113722767
359,1281,4.0,1067220177
359,1299,4.0,1113723440
359,1518,4.0,1086972630
359,1713,3.5,1141046735
359,1784,4.0,1082377550
359,1834,5.0,1067185819
359,2011,3.5,1082376521
359,2087,4.0,1086972453
359,2353,3.0,1067183096
359,2476,3.0,1095329037
359,2713,3.0,1132090029
359,2905,4.0,1067181229
359,3081,4.0,1126969500
359,3173,3.5,1086972282
359,3441,4.0,1076314315
359,3527,4.5,1067182472
359,3566,2.0,1075705960
359,3727,4.0,1082378546
359,3752,3.0,1199794427
359,3969,4.0,1199795235
359,4085,4.0,1067183103
359,4306,4.0,1067182915
359,5072,4.5,1067182285
359,5096,4.0,1145339764
359,5107,1.5,1191578381
359,5283,4.0,1127137177
359,5581,4.0,1067220396
359,5890,4.0,1092004885
359,5933,3.5,1236470461
359,6564,2.0,1067178395
359,7137,4.0,1086867263
359,7386,4.0,1082061133
359,7458,3.5,1086969960
359,8800,5.0,1105267195
359,8966,3.5,1106297501
359,31660,3.0,1116819535
359,31702,4.0,1128168217
359,31952,2.5,1126523215
359,36537,3.0,1140486228
359,37733,4.0,1128823232
